Animal,Alpaca,Brown Alpaca,"Brown Alpaca 1 i=7, j= 1","Brown Alpaca 1 i=7, j= 1 Mask 0.JPG",103.9037857,1.467162554,6.220549105,104.7999516,38.43063619,133.9787736,52.64223512,0.050919207,0.136187712,98.816582,1.937409289,13.12028302,93.9641028,149.8548104,167.3375461,186.6532624,24,0.001451291,46.27751964
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 10 i=6, j= 2","Brown Alpaca 10 i=6, j= 2 Mask 3.JPG",96.31519766,0.82079063,2.39057101,100.9861201,38.78471449,134.9126794,41.23601757,0.014641288,0.030512445,80.20468521,0.674904832,2.576808199,68.67022947,161.7630007,183.4744671,205.4038416,34,0.001991099,34.85842591
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 16 i=6, j= 2","Brown Alpaca 16 i=6, j= 2 Mask 0.JPG",95.04742797,0.801999737,2.373108801,100.9038942,39.54959874,135.1099855,38.64820418,0.01526115,0.031837916,78.35061176,0.643402184,2.465333509,56.13446074,167.7553772,186.6956522,203.5206867,0,0,45.4909033
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 16 i=6, j= 3","Brown Alpaca 16 i=6, j= 3 Mask 1.JPG",92.90545506,0.699901074,1.938877897,102.2494347,41.27218768,136.6057094,36.88135953,0.011941775,0.025862069,74.19855851,0.500989259,1.729437535,74.28465014,166.2116159,186.5908995,203.2672225,86,0.00607645,36.90440221
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 16 i=7, j= 1","Brown Alpaca 16 i=7, j= 1 Mask 0.JPG",101.5028254,1.194533269,4.384773753,101.1293092,36.31744711,132.775023,47.44942836,0.035568794,0.088264926,91.01138902,1.36558763,7.874676946,80.56725574,160.1351292,175.7254052,190.3958388,13,0.000569426,40.67547857
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 17 i=6, j= 2","Brown Alpaca 17 i=6, j= 2 Mask 0.JPG",95.04742797,0.801999737,2.373108801,100.9038942,39.54959874,135.1099855,38.64820418,0.01526115,0.031837916,78.35061176,0.643402184,2.465333509,56.13446074,167.7553772,186.6956522,203.5206867,0,0,45.4909033
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 17 i=7, j= 1","Brown Alpaca 17 i=7, j= 1 Mask 0.JPG",101.5028254,1.194533269,4.384773753,101.1293092,36.31744711,132.775023,47.44942836,0.035568794,0.088264926,91.01138902,1.36558763,7.874676946,80.56725574,160.1351292,175.7254052,190.3958388,13,0.000569426,40.67547857
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 2 i=6, j= 2","Brown Alpaca 2 i=6, j= 2 Mask 0.JPG",96.02852624,0.910028116,2.84014761,101.4833646,39.14749297,133.2432052,41.64585286,0.018744142,0.040651359,82.64690722,0.837570291,3.642396907,87.32388574,157.547004,178.4757219,200.2098635,101,0.005915773,31.11074465
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 24 i=8, j= 1","Brown Alpaca 24 i=8, j= 1 Mask 2.JPG",101.0144745,1.486259702,6.762429201,100.9184498,35.47734424,131.9728341,52.8258863,0.082704007,0.191577512,94.51814558,2.219582547,18.36139081,69.71067965,160.2798783,182.0653941,200.0902512,10,0.000524411,29.45761183
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 29 i=7, j= 1","Brown Alpaca 29 i=7, j= 1 Mask 0.JPG",101.8058725,1.285300168,4.959510006,103.3931176,38.2648214,134.8179353,47.83729194,0.037497662,0.093977932,93.87394801,1.505517112,9.228726389,86.25227323,157.8206639,172.6790089,187.6603086,13,0.001215521,39.91320912
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 3 i=6, j= 2","Brown Alpaca 3 i=6, j= 2 Mask 0.JPG",96.02852624,0.910028116,2.84014761,101.4833646,39.14749297,133.2432052,41.64585286,0.018744142,0.040651359,82.64690722,0.837570291,3.642396907,87.32388574,157.547004,178.4757219,200.2098635,101,0.005915773,31.11074465
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 6 i=6, j= 1","Brown Alpaca 6 i=6, j= 1 Mask 1.JPG",101.5327342,1.230117835,4.457639305,103.8479728,37.84174156,133.2671061,49.6232874,0.047253845,0.114959057,94.86019573,1.502496505,8.796245257,87.05024604,148.6994328,167.4849816,185.7774804,41,0.001637642,50.5070947
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 6 i=7, j= 1","Brown Alpaca 6 i=7, j= 1 Mask 1.JPG",101.0117468,1.168022067,4.054929377,100.5358349,34.59423598,135.8806297,46.45237076,0.028867646,0.071051505,90.29238598,1.224806202,6.60902649,82.82006416,153.793561,175.9978124,196.1542705,26,0.001236447,53.1636174
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 6 i=9, j= 1","Brown Alpaca 6 i=9, j= 1 Mask 1.JPG",98.96540282,1.133801786,4.074757234,100.3967696,35.64909969,133.5142732,46.25886888,0.033572439,0.081149661,88.87703118,1.262187088,7.294734787,75.22466247,159.5806578,182.0100517,201.6430175,24,0.001171074,49.22305073
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 7 i=7, j= 1","Brown Alpaca 7 i=7, j= 1 Mask 1.JPG",101.0117468,1.168022067,4.054929377,100.5358349,34.59423598,135.8806297,46.45237076,0.028867646,0.071051505,90.29238598,1.224806202,6.60902649,82.82006416,153.793561,175.9978124,196.1542705,26,0.001236447,53.1636174
